url,topic,prob
https://www.aljazeera.net/news/2026/5/1/%d8%a7%d9%84%d8%b5%d8%ad%d8%a9-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85%d9%8a%d8%a9-%d8%aa%d8%af%d8%b9%d9%88-%d9%84%d8%af%d8%ae%d9%88%d9%84-%d8%a7%d9%84%d8%a3%d8%af%d9%88%d9%8a%d8%a9,3,1.0
https://www.aljazeera.net/news/2026/5/1/%d8%b1%d8%ba%d9%85-%d9%85%d8%b1%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d9%86%d8%b2%d9%88%d8%ad-%d8%a3%d8%ad%d9%84%d8%a7%d9%85-%d8%a3%d8%b7%d9%81%d8%a7%d9%84-%d8%a7%d9%84%d8%b3%d9%88%d8%af%d8%a7%d9%86,10,0.8589
https://www.aljazeera.net/news/2026/5/1/%d8%ae%d8%a7%d9%86-%d9%8a%d9%83%d8%b4%d9%81-%d9%83%d9%88%d8%a7%d9%84%d9%8a%d8%b3-%d8%b6%d8%ba%d9%88%d8%b7-%d8%a3%d9%85%d9%8a%d8%b1%d9%83%d9%8a%d8%a9,16,1.0
https://www.aljazeera.net/news/2026/5/1/%d8%a5%d8%b3%d8%a8%d8%a7%d9%86%d9%8a%d8%a7-4,16,0.9408
https://www.aljazeera.net/news/2026/5/1/%d9%85%d8%b9%d8%aa%d8%a8%d8%b1%d8%a9-%d8%a3%d9%86-%d9%88%d9%82%d8%aa-%d8%a7%d9%84%d8%aa%d8%b1%d8%af%d8%af-%d8%a7%d9%86%d8%aa%d9%87%d9%89-%d9%88%d8%a7%d8%b4%d9%86%d8%b7%d9%86,8,1.0
https://www.aljazeera.net/news/2026/5/1/%d9%87%d9%84-%d8%b6%d9%84%d9%84-%d8%a7%d9%84%d8%a8%d9%86%d8%aa%d8%a7%d8%ba%d9%88%d9%86-%d8%a7%d9%84%d9%83%d9%88%d9%86%d8%ba%d8%b1%d8%b3-%d8%a8%d8%b4%d8%a3%d9%86-%d9%83%d9%84%d9%81%d8%a9,0,0.966
https://www.aljazeera.net/news/2026/5/1/%d9%85%d9%84%d9%83-%d8%a7%d9%84%d8%a8%d8%ad%d8%b1%d9%8a%d9%86-%d9%84%d8%a7-%d9%85%d9%83%d8%a7%d9%86-%d8%a8%d9%8a%d9%86%d9%86%d8%a7-%d9%84%d9%85%d9%86-%d8%a8%d8%a7%d8%b9-%d8%b6%d9%85%d9%8a%d8%b1%d9%87,4,0.5456
https://www.aljazeera.net/news/2026/5/1/%d8%a5%d8%af%d8%a7%d9%86%d8%a9-%d8%af%d9%88%d9%84%d9%8a%d8%a9-%d9%88%d8%a7%d8%b3%d8%b9%d8%a9-%d9%84%d9%84%d9%87%d8%ac%d9%88%d9%85-%d8%a7%d9%84%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84%d9%8a,-1,0.0
https://www.aljazeera.net/news/2026/5/1/%d8%a7%d8%b9%d8%aa%d8%af%d8%a7%d8%a1-%d9%88%d8%ad%d8%b4%d9%8a-%d9%84%d9%85%d8%b3%d8%aa%d9%88%d8%b7%d9%86-%d8%b9%d9%84%d9%89-%d8%b1%d8%a7%d9%87%d8%a8%d8%a9-%d9%81%d8%b1%d9%86%d8%b3%d9%8a%d8%a9,16,1.0
https://www.aljazeera.net/news/2026/5/1/%d8%a7%d9%84%d8%b5%d8%ad%d9%81%d9%8a-%d8%b9%d9%84%d9%8a-%d8%a7%d9%84%d8%b3%d9%85%d9%88%d8%af%d9%8a-%d8%b9%d8%a7%d9%85-%d8%a8%d8%b3%d8%ac%d9%86-%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84%d9%8a,14,0.525
https://www.aljazeera.net/news/2026/5/1/%d8%a7%d9%84%d9%85%d8%b3%d9%8a%d8%b1%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%84%d9%83%d9%8a%d8%a9-%d9%83%d9%8a%d9%81-%d8%a3%d8%b3%d9%82%d8%b7%d8%aa-%d8%a3%d9%84%d9%8a%d8%a7%d9%81,-1,0.0
https://www.aljazeera.net/news/2026/5/1/%d8%a7%d9%84%d9%85%d8%ad%d9%83%d9%85%d8%a9-%d8%a7%d9%84%d8%ac%d8%b2%d8%a7%d8%a6%d9%8a%d8%a9-%d9%81%d9%8a-%d8%aa%d8%b9%d8%b2-%d8%aa%d8%a8%d8%af%d8%a3-%d8%a3%d9%88%d9%84-%d8%ac%d9%84%d8%b3%d8%a7%d8%aa,-1,0.0
https://www.aljazeera.net/news/2026/5/1/30-%d8%b1%d8%ad%d9%84%d8%a9-%d8%b4%d8%ad%d9%86-%d8%b9%d8%b3%d9%83%d8%b1%d9%8a-%d8%a3%d9%85%d8%b1%d9%8a%d9%83%d9%8a%d8%a9-%d9%85%d9%86-%d8%a3%d9%84%d9%85%d8%a7%d9%86%d9%8a%d8%a7-%d8%a5%d9%84%d9%89,-1,0.0
https://www.aljazeera.net/news/2026/5/1/%d8%aa%d8%b1%d9%85%d8%a8-%d9%8a%d8%b3%d8%aa%d8%a3%d9%86%d9%81-%d9%87%d8%ac%d9%85%d8%a7%d8%aa%d9%87-%d8%b9%d9%84%d9%89-%d9%85%d9%8a%d8%b1%d8%aa%d8%b3-%d9%83%d9%81-%d8%b9%d9%86,0,1.0
https://www.aljazeera.net/news/2026/5/1/%d8%a3%d8%b3%d8%b7%d9%88%d9%84-%d8%a7%d9%84%d8%b5%d9%85%d9%88%d8%af-4,-1,0.0
https://www.aljazeera.net/news/2026/5/1/%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84-%d8%aa%d8%b9%d9%8a%d8%af-%d8%aa%d8%b4%d9%83%d9%8a%d9%84-%d8%a7%d9%84%d8%ac%d9%86%d9%88%d8%a8-%d8%a7%d9%84%d9%84%d8%a8%d9%86%d8%a7%d9%86%d9%8a,2,0.531
https://www.aljazeera.net/news/2026/5/1/%d8%aa%d8%b5%d8%b9%d9%8a%d8%af-%d8%af%d8%a7%d9%85-%d9%81%d9%8a-%d8%ac%d9%86%d9%88%d8%a8-%d9%84%d8%a8%d9%86%d8%a7%d9%86-%d9%8a%d9%87%d8%af%d8%af-%d8%a7%d9%84%d9%87%d8%af%d9%86%d8%a9,2,1.0
https://www.aljazeera.net/news/2026/5/1/%d8%a5%d8%b3%d8%b1%d8%a7%d8%a6%d9%8a%d9%84%d9%8a%d9%88%d9%86-%d9%8a%d8%b9%d8%aa%d8%b0%d8%b1%d9%88%d9%86-%d9%81%d9%8a%d8%af%d9%8a%d9%88-%d8%b1%d9%83%d9%84-%d8%b1%d8%a7%d9%87%d8%a8%d8%a9,16,1.0
https://www.aljazeera.net/news/2026/5/1/%d8%a7%d9%84%d8%b9%d8%af%d9%84-%d8%a7%d9%84%d8%a3%d9%85%d9%8a%d8%b1%d9%83%d9%8a%d8%a9-%d8%aa%d9%86%d8%b4%d8%b1-%d9%84%d9%82%d8%b7%d8%a7%d8%aa-%d9%84%d9%84%d9%85%d8%aa%d9%87%d9%85,-1,0.0
https://www.aljazeera.net/news/2026/5/1/%d9%85%d8%a7%d9%84%d9%8a-%d8%af%d8%b9%d9%88%d8%a9-%d9%84%d8%aa%d8%b4%d9%83%d9%8a%d9%84-%d8%ac%d8%a8%d9%87%d8%a9-%d9%85%d9%88%d8%ad%d8%af%d8%a9-%d8%b6%d8%af-%d8%ad%d9%83%d9%85,5,0.8121
https://www.aljazeera.net/news/2026/5/1/%d8%a8%d8%b9%d8%af-%d8%a7%d9%86%d9%82%d8%b6%d8%a7%d8%a1-%d9%85%d9%87%d9%84%d8%a9-%d8%a7%d9%84%d9%83%d9%88%d9%86%d8%ba%d8%b1%d8%b3-%d9%87%d9%84-%d9%8a%d9%88%d8%a7%d8%b5%d9%84-%d8%aa%d8%b1%d9%85%d8%a8,0,1.0
https://www.aljazeera.net/news/2026/5/1/%d8%a8%d9%8a%d9%86-%d9%84%d8%ba%d8%a9-%d8%a7%d9%84%d8%aa%d9%81%d8%a7%d9%88%d8%b6-%d9%88%d8%ae%d9%8a%d8%a7%d8%b1%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%84%d8%a7%d8%ad-%d9%87%d9%84-%d8%a3%d9%86%d9%87%d8%aa,0,1.0
